Species,Month,Initial_mass,Lbag_weight,Litter_substrate,microsite,Crucible_mass,Sample_cruc_mass,Ash_cruc_mass,Ash remaining
Arthraerua_leubnitziae ,0,4,4,Grass,Vegetated_patch,17.11,17.36,17.1,-0.01
Arthraerua_leubnitziae ,0,4,4,Shrub,Vegetated_patch,17.25,17.49,17.26,0.01
Arthraerua_leubnitziae ,0,4,4,Grass,Unvegetated_patch,17.13,17.39,17.13,0
Arthraerua_leubnitziae ,0,4,4,Shrub,Unvegetated_patch,17.16,17.42,17.15,-0.01
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,17.41,17.68,17.41,0
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,17.12,17.38,17.12,0
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,16.34,16.65,16.35,0.01
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,16.32,16.55,16.33,0.01
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,17.45,17.7,17.45,0
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,20.25,20.5,20.24,-0.01
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,18.83,19.09,18.82,-0.01
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,17.99,18.24,17.99,0
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,16.5,16.75,16.5,0
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,16.33,16.57,16.33,0
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,18.08,18.31,18.08,0
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,17.45,17.7,17.44,-0.01
Ectadium_rotundifolium ,0,4,3.502,Grass,Vegetated_patch,17.17,17.43,17.17,0
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,17.19,17.44,17.19,0
Ectadium_rotundifolium ,0,4,3.9321,Grass,Unvegetated_patch,17.16,17.4,17.16,0
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,17.22,17.46,17.22,0
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,17.21,17.46,17.22,0.01
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,18.76,19.03,18.76,0
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,17.55,17.8,17.55,0
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,18.62,18.87,18.63,0.01
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,19.13,19.38,19.12,-0.01
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,17.95,18.2,17.93,-0.02
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,17.2,17.45,17.2,0
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,17.43,17.69,17.43,0
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,17.52,17.77,17.54,0.02
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,16.52,16.77,16.53,0.01
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,16.38,16.63,16.38,0
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,17.45,17.7,17.44,-0.01
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,16.68,16.93,16.67,-0.01
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,20.05,20.3,20.04,-0.01
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,17.24,17.5,17.22,-0.02
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,39.34,39.59,39.34,0
Ectadium_rotundifolium ,0,4,4,Grass,Vegetated_patch,42.32,42.57,42.32,0
Ectadium_rotundifolium ,0,4,4,Shrub,Vegetated_patch,40.44,40.69,40.43,-0.01
Ectadium_rotundifolium ,0,4,4,Grass,Unvegetated_patch,39.52,39.78,39.52,0
Ectadium_rotundifolium ,0,4,4,Shrub,Unvegetated_patch,36.35,36.6,36.34,-0.01
Salsola_nollothensis,0,4,4,Grass,Vegetated_patch,38.29,38.54,38.29,0
Salsola_nollothensis,0,4,4,Shrub,Vegetated_patch,62.11,62.37,62.1,-0.01
Salsola_nollothensis,0,4,4,Grass,Unvegetated_patch,58.39,58.64,58.39,0
Salsola_nollothensis,0,4,4,Shrub,Unvegetated_patch,51.7,51.95,51.71,0.01
Salsola_nollothensis,0,4,4,Grass,Vegetated_patch,53.53,53.79,53.53,0
Salsola_nollothensis,0,4,4,Shrub,Vegetated_patch,17.65,17.91,17.65,0
Salsola_nollothensis,0,4,4,Grass,Unvegetated_patch,17.12,17.33,17.13,0.01
Salsola_nollothensis,0,4,4,Shrub,Unvegetated_patch,18.82,19.08,18.82,0
Salsola_nollothensis,0,4,4,Grass,Vegetated_patch,16.32,16.56,16.32,0
Salsola_nollothensis,0,4,4,Shrub,Vegetated_patch,17.19,17.43,17.2,0.01
Salsola_nollothensis,0,4,4,Grass,Unvegetated_patch,18.76,19.03,18.76,0
Salsola_nollothensis,0,4,4,Shrub,Unvegetated_patch,19.12,19.37,19.13,0.01
Salsola_nollothensis,0,4,3.5621,Grass,Vegetated_patch,17.32,17.78,17.32,0
