Species,Litter_substrate,microsite,Month,nitrogen,carbon,C_N,Ash_free_remaining
Arthraerua leubnitziae ,Grass,Vegetated,4,0.505181494,47.41855021,93.86438494,73.91334569
Salsola nollothensis,Grass,Unvegetated,14,1.784889608,50.20532311,28.12797099,38.11652861
Arthraerua leubnitziae ,Grass,Unvegetated,14,0.421741118,47.99996737,113.8138192,NA
Arthraerua leubnitziae ,Grass,Vegetated,8,0.502070331,34.25370494,68.22491361,94.23341514
Ectadium rotundifolium ,Grass,Vegetated,4,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,4,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,14,0.555470131,47.71601843,85.90204179,76.23159304
Arthraerua leubnitziae ,Grass,Vegetated,8,0.442295196,47.73261029,107.9202549,86.22409639
Ectadium rotundifolium ,Grass,Vegetated,14,0.527316655,49.24303953,93.3841916,85.41424959
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,8,0.512627884,41.51856629,80.99162677,59.22289157
Arthraerua leubnitziae ,Grass,Vegetated,8,0.460911172,45.54037879,98.80510938,76.44337349
Ectadium rotundifolium ,Grass,Unvegetated,14,0.353397534,39.44304839,111.6109894,66.03857739
Arthraerua leubnitziae ,Grass,Vegetated,14,0.572046001,48.09486574,84.07517174,93.41365462
Salsola nollothensis,Grass,Unvegetated,14,1.308473622,39.26282048,30.00658157,100.7502317
Arthraerua leubnitziae ,Grass,Vegetated,14,1.820540477,39.04642409,21.44770994,87.3064257
Arthraerua leubnitziae ,Grass,Unvegetated,8,0.380360666,44.49324629,116.9764654,63.81941226
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,8,0.892714983,41.22894732,46.18377434,62.08420219
Arthraerua leubnitziae ,Grass,Unvegetated,14,0.465003931,41.02700205,88.22936607,71.08759111
Arthraerua leubnitziae ,Grass,Unvegetated,14,0.384365868,44.54168032,115.8835476,46.54695706
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA
Salsola nollothensis,Grass,Unvegetated,8,0.236529418,46.38757285,69.73185238,73.14814815
Arthraerua leubnitziae ,Grass,Vegetated,8,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,8,0.618091645,47.89753554,77.49261122,48.16181392
Arthraerua leubnitziae ,Grass,Vegetated,4,0.70611708,50.86282803,72.03172028,69.84789157
Salsola nollothensis,Grass,Vegetated,4,0.737980686,48.41973452,65.61111346,99.73975904
Salsola nollothensis,Grass,Vegetated,8,0.646039053,43.46386626,67.27745953,63.18350324
Arthraerua leubnitziae ,Grass,Unvegetated,4,0.462378299,52.59988571,113.759417,63.55711307
Salsola nollothensis,Grass,Unvegetated,14,0.604340452,50.88422012,84.19793835,62.77208835
Arthraerua leubnitziae ,Grass,Vegetated,4,0.781147861,50.58101248,64.75216153,67.40037071
Ectadium rotundifolium ,Grass,Vegetated,14,0.493485366,49.29724515,99.89606284,54.64796687
Ectadium rotundifolium ,Grass,Vegetated,14,0.443576791,43.52966735,98.13332937,54.89759036
Ectadium rotundifolium ,Grass,Unvegetated,4,0.435495644,42.02412473,96.49723329,68.04487179
Ectadium rotundifolium ,Grass,Unvegetated,14,0.37924043,45.76250713,120.6688515,74.58835341
Salsola nollothensis,Grass,Unvegetated,4,0.351816665,42.77109245,121.5721047,73.34201389
Salsola nollothensis,Grass,Unvegetated,4,0.392639494,46.86904038,119.3691442,96.55903614
Ectadium rotundifolium ,Grass,Vegetated,8,NA,NA,NA,NA
Salsola nollothensis,Grass,Unvegetated,4,0.311619474,NA,NA,69.61200572
